SCORING SYSTEM,,,,,
,,,,,
Scoring Event,Value / Multiplier,Trigger / Condition,Description,UI Flavor Text,Stacks / Resets
?? BASE SCORING ??,,,,,
Base Hit (Clear),Rank Base,Asteroid typed correctly and destroyed.,Pulls base point value from progression.csv based on current rank.,"""TARGET NEUTRALIZED""",Per event
Perfect Shot,0.25x,0 Backspaces used on the command.,25% bonus of current Base Hit. Increased from 20% to reward clean typing.,"""PERFECT""","Per event, feeds streak"
Early Intercept,0.5x,Target cleared within the top 25% of the screen.,50% bonus of current Base Hit. Rewards fast reaction.,"""EARLY INTERCEPT""","Per event, stacks with Perfect Shot"
,,,,,
?? STREAK BONUSES ??,,,,,
5x Perfect Streak,75,5 consecutive Perfect Shots (0 backspaces).,NEW — Mini-streak milestone. Keeps players motivated before the big bonuses.,"""LOCKED IN""",One-time per streak
8x Perfect Streak,150,8 consecutive Perfect Shots (0 backspaces).,Reduced from 10. More achievable at higher tiers where speed is brutal.,"""EXCELLENT""",One-time per streak
15x Perfect Streak,400,15 consecutive Perfect Shots (0 backspaces).,Reduced from 20. Keeps the big bonus within reach at high-tier speeds.,"""UNSTOPPABLE""",One-time per streak
25x Perfect Streak,1000,25 consecutive Perfect Shots (0 backspaces).,NEW — Elite tier reward. Extremely difficult but achievable for the best players.,"""LEGEND""",One-time per streak
Streak Forgiveness,n/a,1 backspace allowed per target without breaking streak.,"NEW — Instead of hard reset on any error, 1 backspace is forgiven. 2+ backspaces on a single target breaks streak.",,Passive rule
,,,,,
?? TYPING PENALTIES ??,,,,,
Key Dust (1-2 Backspaces),-0.1x,1-2 Backspaces used while clearing a target.,Flat 10% penalty of current Base Hit. Minor slip.,"""KEY DUST""",Per event
Static Jam (3-4 Backspaces),-0.2x,3-4 Backspaces used while clearing a target.,Flat 20% penalty of current Base Hit. Sloppy typing.,"""SIGNAL NOISE""",Per event
Comms Drift (5-6 Backspaces),-30,5-6 Backspaces used while clearing a target.,Flat -30 points. Separated from Static Jam for granularity.,"""COMMS DRIFT""",Per event
Static Jam (7+ Backspaces),-50,7+ Backspaces used while clearing a target.,Flat -50 points. Max typing penalty. Capped to prevent death spirals.,"""STATIC JAM"" (Max penalty)","Per event, capped"
,,,,,
?? BASE / ZONE DESTRUCTION PENALTIES ??,,,,,
Consecutive Base Destruction Rule,See below,Tracks consecutive bases destroyed WITHOUT an asteroid kill in between.,A counter tracks how many bases have been destroyed in a row. Destroying an asteroid resets the counter to 0. Penalty only applies on the 2nd+ consecutive base destroyed.,,Counter resets on any asteroid destroyed
1st Base Destroyed (consecutive),0,First base destroyed in a consecutive streak.,No penalty. Player gets a free pass on the first base lost.,"""BASE LOST""",Counter = 1
2nd Base Destroyed (consecutive),-100,Second base destroyed without destroying an asteroid in between.,-100 point penalty. Pressure mounts.,"""SECTOR BREACH""",Counter = 2
3rd Base Destroyed (consecutive),-200,Third base destroyed without destroying an asteroid in between.,-200 point penalty. Escalating consequence.,"""CRITICAL FAILURE""",Counter = 3
4th+ Base Destroyed (consecutive),-300,Fourth or more base destroyed without destroying an asteroid in between.,-300 point penalty per additional base. Capped at -300 to prevent total wipeout spirals.,"""SYSTEM COLLAPSE""","Counter = 4+, capped penalty"
Asteroid Destroyed (Counter Reset),0,Player destroys any asteroid.,Resets the consecutive base destruction counter to 0. Next base destroyed will be treated as the 1st (no penalty).,,Counter ? 0
